iterm,facet,domain,subject,lword
commercial information exchange,phenomenon_object,Digital Applications,data exchange,commercial information exchange
common data environment,concept,Digital Applications,computing systems,common data environment
communication network,phenomenon_object,Digital Applications,networking,communication network
communications network,phenomenon_object,Digital Applications,networking,communications network
communications technology,phenomenon_object,Digital Applications,innovation and technology management,communications technology
computation,concept,Digital Applications,computational methods,computation
computational electromagnetism,phenomenon_process,Digital Applications,computational methods,computational electromagnetism
computational fluid dynamics,phenomenon_process,Digital Applications,modelling and simulation,computational fluid dynamics
computational mechanics,phenomenon_process,Digital Applications,modelling and simulation,computational mechanics
computational model,concept,Digital Applications,modelling and simulation,computational model
computational modelling technique,phenomenon_process,Digital Applications,analytical methods,computational modelling technique
computer aided design,phenomenon_process,Digital Applications,computational design,computer aided design
computer aided manufacturing and design,phenomenon_process,Digital Applications,digital manufacturing,computer aided manufacturing and design
computer aided simulation,analytical_technique,Digital Applications,modelling and simulation,computer aided simulation
computer application,concept,Digital Applications,software systems,computer application
computer graphic,phenomenon_object,Digital Applications,computer hardware,computer graphic
computer modelling,analytical_technique,Digital Applications,modelling and simulation,computer modelling
computer program,concept,Digital Applications,software systems,computer program
computer simulation,analytical_technique,Digital Applications,modelling and simulation,computer simulation
computer system,phenomenon_object,Digital Applications,computing systems,computer system
computer vision,concept,Digital Applications,computer vision,computer vision
computer-aided engineering,concept,Digital Applications,design technology,computer-aided engineering
