iterm,facet,domain,New Subject,lword
water tightness,concept,Engineering,building performance,water tightness
temperature perception,concept,Engineering,building performance,temperature perception
thermal pleasure,concept,Engineering,building performance,thermal pleasure
building performance evaluation,phenomenon_process,Engineering,building performance,building performance evaluation
component and systems performance,concept,Engineering,building performance,component and systems performance
underground engineering,phenomenon_process,Engineering,civil engineering,underground engineering
transportation engineering,phenomenon_process,Engineering,civil engineering,transportation engineering
municipal engineering,phenomenon_process,Engineering,civil engineering,municipal engineering
highway infrastructure,phenomenon_object,Engineering,civil engineering,highway infrastructure
highway construction,phenomenon_process,Engineering,civil engineering,highway construction
highway construction,phenomenon_process,Engineering,civil engineering,highway project
infrastructure construction,phenomenon_process,Engineering,civil engineering,infrastructure construction
pipeline construction,phenomenon_process,Engineering,civil engineering,pipeline construction
pipeline construction,phenomenon_process,Engineering,civil engineering,pipeline project
port construction,phenomenon_process,Engineering,civil engineering,port construction
power station construction,phenomenon_process,Engineering,civil engineering,power plant construction
railway construction,phenomenon_process,Engineering,civil engineering,rail project
railway construction,phenomenon_process,Engineering,civil engineering,railway construction
